rnti,phr,dl_tbs,ul_tbs,dl_aggr_prb,wb_cqi,pusch_snr,pucch_snr,ul_rssi,dl_bler,ul_bler,dl_mcs,ul_mcs,target_future_rssi
70,30,921705,1180327,20,15,28.579038619995117,30.918018341064453,62.6911506652832,0.0,0.0,26,23,60.5762825012207
70,30,921893,1180493,20,15,28.39781951904297,30.918018341064453,60.5762825012207,0.0,0.0,26,23,60.576908111572266
70,30,921948,1180476,20,15,28.35725212097168,32.135650634765625,60.576908111572266,0.0,0.0,26,23,61.50461196899414
70,30,921854,1180399,20,15,28.442232131958008,32.135650634765625,61.50461196899414,0.0,0.0,26,23,62.339595794677734
70,30,921909,1180335,20,15,28.548921585083008,32.13029861450195,62.339595794677734,0.0,0.0,26,23,63.09109878540039
70,30,921826,1180254,20,15,29.344764709472656,32.13029861450195,63.09109878540039,0.0,0.0,26,22,64.37620544433594
70,30,921732,1180205,20,15,30.00155258178711,32.13029861450195,64.37620544433594,0.0,0.0,26,20,65.41715240478516
70,30,921787,1180508,20,15,29.3526611328125,32.13029861450195,65.41715240478516,0.0,0.0,26,21,66.2603530883789
70,30,922117,1180901,20,15,28.794471740722656,32.72897720336914,66.2603530883789,0.0,0.0,26,21,66.26038360595703
70,30,922167,1180915,20,15,28.711742401123047,33.6204948425293,66.26038360595703,0.0,0.0,26,21,66.2604751586914
70,30,922211,1180864,20,15,29.117996215820312,34.00862121582031,66.2604751586914,0.0,0.0,26,21,66.2604751586914
70,30,922128,1180757,20,15,29.117996215820312,34.00862121582031,66.2604751586914,0.0,0.0,26,21,66.62005615234375
70,30,922045,1180792,20,15,29.066364288330078,34.3896598815918,66.62005615234375,0.0,0.0,26,21,67.49633026123047
70,30,922089,1180979,20,15,28.976701736450195,34.3896598815918,67.49633026123047,0.0,0.0,26,22,67.94337463378906
70,30,922144,1181129,20,15,28.914085388183594,34.76516342163086,67.94337463378906,0.0,0.0,26,22,68.13351440429688
70,30,922326,1181121,20,15,28.729190826416016,34.70608901977539,68.13351440429688,0.0,0.0,26,22,68.3046646118164
70,30,922242,1181016,20,15,29.448854446411133,34.70608901977539,68.3046646118164,0.0,0.0,26,21,68.30486297607422
70,30,922159,1181030,20,15,29.310150146484375,35.079376220703125,68.30486297607422,0.0,0.0,26,21,68.60111999511719
70,30,922076,1181110,20,15,29.391700744628906,35.079376220703125,68.60111999511719,0.0,0.0,26,21,66.22186279296875
70,30,922264,1181218,20,15,29.28078269958496,32.71873474121094,66.22186279296875,0.0,0.0,26,21,64.0813980102539
70,30,922181,1181242,20,15,29.443944931030273,32.71873474121094,64.0813980102539,0.0,0.0,26,21,64.66173553466797
70,30,922363,1181233,20,15,29.572153091430664,33.533470153808594,64.66173553466797,0.0,0.0,26,21,62.75560760498047
70,30,922279,1181173,20,15,29.5253849029541,33.533470153808594,62.75560760498047,0.0,0.0,26,21,62.75560760498047
70,30,922196,1181067,20,15,29.5253849029541,33.533470153808594,62.75560760498047,0.0,0.0,26,21,62.756507873535156
70,30,922113,1181050,20,15,29.45267105102539,33.92980194091797,62.756507873535156,0.0,0.0,26,21,63.46831130981445
70,30,922157,1181132,20,15,29.582361221313477,33.90856170654297,63.46831130981445,0.0,0.0,26,22,64.10980987548828
70,30,922074,1181160,20,15,29.663827896118164,31.935077667236328,64.10980987548828,0.0,0.0,26,22,59.645877838134766
70,30,922262,1181414,20,15,29.32611846923828,31.935077667236328,59.645877838134766,0.0,0.0,26,22,58.446922302246094
70,30,922444,1181505,20,15,29.43121910095215,32.54721450805664,58.446922302246094,0.0,0.0,26,22,59.58940887451172
70,30,922488,1181497,20,15,29.62928009033203,33.45062255859375,59.58940887451172,0.0,0.0,26,22,59.59009552001953
70,30,922394,1181423,20,15,29.622852325439453,33.45062255859375,59.59009552001953,0.0,0.0,26,22,60.61798858642578
70,30,922311,1181407,20,15,29.43473243713379,33.8076057434082,60.61798858642578,0.0,0.0,26,22,61.543704986572266
70,30,922366,1181412,20,15,29.390422821044922,33.8076057434082,61.543704986572266,0.0,0.0,26,22,63.1262321472168
70,30,922283,1181463,20,15,29.461957931518555,33.8076057434082,63.1262321472168,0.0,0.0,26,22,63.80116653442383
70,30,922327,1181444,20,15,29.546531677246094,33.75774383544922,63.80116653442383,0.0,0.0,26,22,64.41008758544922
70,30,922381,1181462,20,15,29.71890640258789,34.046592712402344,64.41008758544922,0.0,0.0,26,22,65.8893051147461
70,30,922435,1181549,20,15,30.04981231689453,34.369476318359375,65.8893051147461,0.0,0.0,26,22,66.64427947998047
70,30,922617,1181527,20,15,30.070838928222656,34.67258834838867,66.64427947998047,0.0,0.0,26,22,66.64427947998047
70,30,922534,1181421,20,15,30.070838928222656,34.964599609375,66.64427947998047,0.0,0.0,26,22,66.64361572265625
70,30,922441,1181459,20,15,29.811710357666016,34.964599609375,66.64361572265625,0.0,0.0,26,22,66.96653747558594
70,30,922505,1181411,20,15,29.819068908691406,34.964599609375,66.96653747558594,0.0,0.0,26,22,67.25643920898438
70,30,922412,1181539,20,15,29.620315551757812,34.964599609375,67.25643920898438,0.0,0.0,26,23,67.5183334350586
