timestamp,rnti,phr,dl_tbs,ul_tbs,dl_aggr_prb,wb_cqi,pusch_snr,pucch_snr,ul_rssi,dl_bler,ul_bler,dl_mcs,ul_mcs,target_future_rssi
1764717459035139.0,72,30,523097,756645,11,15,29.544261932373047,34.97297286987305,65.23973846435547,0.0,0.0,26,21,65.74293518066406
1764717459045126.0,72,30,523084,756654,11,15,29.98240852355957,34.97297286987305,65.74293518066406,0.0,0.0,26,22,66.60432434082031
1764717459055140.0,72,30,523109,756693,11,15,29.990257263183594,34.97297286987305,66.60432434082031,0.0,0.0,26,22,64.2447509765625
1764717459065149.0,72,30,523133,756757,11,15,29.88446617126465,33.52924346923828,64.2447509765625,0.0,0.0,26,22,63.23845291137695
1764717459075153.0,72,30,523196,756777,11,15,29.766508102416992,33.569801330566406,63.23845291137695,0.0,0.0,26,22,63.23845291137695
1764717459085130.0,72,30,523183,756758,11,15,29.766508102416992,34.007896423339844,63.23845291137695,0.0,0.0,26,22,63.942100524902344
1764717459095131.0,72,30,523168,756750,11,15,29.766029357910156,34.007896423339844,63.942100524902344,0.0,0.0,26,22,64.57553100585938
1764717459105133.0,72,30,523155,756794,11,15,29.387897491455078,32.705684661865234,64.57553100585938,0.0,0.0,26,22,63.565757751464844
1764717459115139.0,72,30,523217,756849,11,15,29.081872940063477,32.70277786254883,63.565757751464844,0.0,0.0,26,22,62.656986236572266
1764717459125136.0,72,30,523279,756919,11,15,28.666391372680664,33.20294952392578,62.656986236572266,0.0,0.0,26,22,63.4194221496582
1764717459135163.0,72,30,523265,756910,11,15,28.729684829711914,33.727012634277344,63.4194221496582,0.0,0.0,26,22,64.10563659667969
1764717459145153.0,72,30,523290,756902,11,15,28.7989501953125,33.69163131713867,64.10563659667969,0.0,0.0,26,22,65.27811431884766
1764717459155140.0,72,30,523275,756906,11,15,29.23911476135254,33.69163131713867,65.27811431884766,0.0,0.0,26,22,66.22774505615234
1764717459165142.0,72,30,523300,756924,11,15,29.46440887451172,33.71050262451172,66.22774505615234,0.0,0.0,26,21,66.63296508789062
1764717459175290.0,72,30,523324,756917,11,15,29.42591094970703,34.057498931884766,66.63296508789062,0.0,0.0,26,21,66.99633026123047
1764717459185133.0,72,30,523311,756924,11,15,29.555736541748047,34.057498931884766,66.99633026123047,0.0,0.0,26,21,66.99580383300781
1764717459195141.0,72,30,523336,756936,11,15,29.402664184570312,34.40635681152344,66.99580383300781,0.0,0.0,26,21,67.32383728027344
1764717459205142.0,72,30,523321,756920,11,15,30.082956314086914,34.74026107788086,67.32383728027344,0.0,0.0,26,20,67.61907196044922
1764717459215127.0,72,30,523308,756913,11,15,30.556995391845703,34.74026107788086,67.61907196044922,0.0,0.0,26,20,67.8844223022461
